"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"THRIL",137.012208483804,-0.776379916836435,0.284234886827565,-2.73147299229118,0.00630519085755897,0.0196356573987424
"GEN1",598.09683011337,0.502671008453617,0.184045328135581,2.73123481886653,0.00630974966319442,0.0196461580935278
"AGBL5",2930.69763751752,0.34550391460718,0.126551815532214,2.73013795301286,0.00633078275651888,0.0197079398506489
"SLC25A38",1169.91719995425,-0.426796733295222,0.156348731384429,-2.72977420101873,0.00633777185022695,0.0197259871502363
"ZBTB44",611.475470215364,-0.462674610165498,0.169505504984764,-2.72955506788458,0.00634198560287324,0.0197353911823196
"CCDC136",264.375405872239,0.634301797543196,0.232447290200811,2.72879841703134,0.00635655477616539,0.0197770102735131
"ZBTB14",260.70001239177,-0.596265446086647,0.21856754286025,-2.72806034365264,0.00637079525598572,0.0198175912567329
"SNRPE",1323.54662419617,-0.379313137092903,0.139051604032167,-2.72785876677233,0.00637468949326393,0.0198259790478212
"VSTM1",168.02900290461,0.749761382478514,0.274984838015269,2.72655535443333,0.00639992169203658,0.0199007146057842
"ACAD8",550.558537446716,0.457355372189355,0.167778471714617,2.72594789733986,0.00641171186432015,0.0199300311871679
"BAG5",1267.1349746698,-0.375415245760167,0.137719276370447,-2.72594552958838,0.0064117578583657,0.0199300311871679
"GTPBP6",1507.87990663152,-0.363219604258868,0.133253573704904,-2.72577758449641,0.0064150209827396,0.0199364302114731
"UBTD1",454.039552752101,0.490504334673208,0.179967012297156,2.7255235746388,0.00641995915956529,0.0199480315391636
"PYCR1",1154.90976729934,-0.438221632453804,0.160832005609012,-2.72471658109603,0.00643567053137178,0.019993096590703
"C9orf69",1304.91816878076,0.384456384483202,0.141123176047874,2.72426114016014,0.00644455278193398,0.0200169333170522
"PIP5KL1",88.592558892756,0.964710496569609,0.354271552958644,2.72308202144084,0.00646759984094339,0.0200844939159559
"UNC119B",1903.91684428022,0.362685012340572,0.133191988045927,2.72302424238545,0.00646873109388356,0.0200844939159559
"XKR7",52.4611230344993,-1.19550862798036,0.439208560347521,-2.72196112715659,0.00648957756144011,0.0201454403220099
"PDCD4",1093.44684851583,0.383030583761211,0.140786463244531,2.72064923668072,0.00651538551307616,0.0202217628000069
"PRDX6",9164.64396561736,0.323194845884737,0.118816227791982,2.72012377341732,0.0065257484701977,0.0202501291111197
"PSMB7",6131.83835951268,-0.339290714853058,0.124762429918258,-2.71949428265669,0.00653818252862147,0.0202849104430633
"UFL1",311.598881111449,-0.646002947849418,0.237606436387554,-2.71879397574794,0.00655204042298424,0.0203240954050291
"RMND5A",1922.31303182288,-0.346464262456096,0.127441025578385,-2.71862424900996,0.00655540300372349,0.0203307158549056
"CDPF1",265.536350286621,-0.597865596693526,0.21992412458398,-2.71850847570489,0.00655769756378329,0.0203340221198466
"KLHL2",385.302693803739,0.593591403297144,0.21848732008139,2.71682312308111,0.00659118216934289,0.0204313318828247
"POLR2F",1122.30057928533,-0.396721276589154,0.146024951014168,-2.71680472298643,0.00659154858955316,0.0204313318828247
"CCND3",925.444569484191,-0.409648239141132,0.150795611879821,-2.71657930913538,0.0065960389768536,0.0204414224199365
"ALS2CL",80.4843626219876,0.986473817768999,0.36319518398511,2.71609828892841,0.00660563040456503,0.0204673145743842
"MAP3K2",802.656919810793,0.428682235004981,0.157901773434656,2.71486650010541,0.00663024918175933,0.0205397500386451
"LARP6",1149.08066068013,-0.403674977605576,0.148758640151837,-2.71362374107176,0.00665517078391475,0.020613096335209
"C11orf68",1370.27397451981,-0.384111189535692,0.141577978536876,-2.71307157726967,0.00666627056863537,0.0206436128067451
"APPL2",527.357279824813,0.464835380652,0.171405261878813,2.71190846510096,0.006689706316515,0.020712311812749
"FTSJ1",738.661459787536,-0.427129505957799,0.1575181079354,-2.71162161326221,0.00669549751751376,0.0207263652346901
"GNA12",1294.42932313676,0.380102077031109,0.140221965820106,2.71071707494639,0.00671378860507862,0.0207791004097347
"ANKRD18B",92.3353301604002,0.908023825789319,0.335051897406143,2.71009904083197,0.00672631197491219,0.0208121129608541
"PTEN",1112.15307898463,0.455721261097192,0.168158694064923,2.71006660483011,0.00672696981274586,0.0208121129608541
"RPS15",10021.0240703304,-0.306764735579181,0.113217490759067,-2.70951717373769,0.00673812166996753,0.0208427190957396
